Seed,Model,Dataset,Approach,Value,accuracy_10,f1_10,accuracy_50,f1_50,accuracy_100,f1_100,accuracy_250,f1_250,accuracy_500,f1_500,accuracy_750,f1_750,accuracy_1000,f1_1000,accuracy_2500,f1_2500,accuracy_5000,f1_5000,accuracy_7500,f1_7500,accuracy_9000,f1_9000
5,MLP,MNISTbinary,Neuronal (official),1692.0,0.612,0.5888102271717677,0.7451,0.7440099801654847,0.7679,0.7670494605384262,0.8429,0.8427080238000911,0.9026,0.9026008300153642,0.9361,0.9360873377307806,0.9556,0.9555968607219354,,,,,,,,
6,MLP,MNISTbinary,Neuronal (official),1748.0,0.5194,0.5164962442730276,0.7763,0.7758961878003897,0.8025,0.8019132708590525,0.8405,0.8404770229935622,0.9067,0.9066578663761123,0.9297,0.9296925079141223,0.9502,0.950195792814549,,,,,,,,
7,MLP,MNISTbinary,Neuronal (official),1737.0,0.6128,0.5668363500579706,0.7984,0.7972779824957624,0.8162,0.8161977056176392,0.85,0.8500068647424905,0.8891,0.8891036236335361,0.9289,0.9289031192094339,0.9519,0.9518994779895871,,,,,,,,
8,MLP,MNISTbinary,Neuronal (official),1721.0,0.5282,0.4108598384731109,0.756,0.7517578310776312,0.7656,0.761079723588447,0.8334,0.8333463829300758,0.8913,0.8911624568442108,0.9202,0.9201957373294154,0.9489,0.9488773667524387,,,,,,,,
9,MLP,MNISTbinary,Neuronal (official),1701.0,0.5482,0.4445735084810359,0.7868,0.7843103710572319,0.8083,0.8078354666698851,0.8461,0.8461053111336667,0.8949,0.894899195796744,0.9301,0.9301035197826605,0.9473,0.9472836488824276,,,,,,,,
10,MLP,MNISTbinary,Neuronal (official),1698.0,0.59,0.5883133388570093,0.8028,0.800557754211793,0.8255,0.8252966490211271,0.8629,0.8629042164629085,0.8942,0.8941780152113522,0.9266,0.9265934473178326,0.9515,0.9514943303923475,,,,,,,,
11,MLP,MNISTbinary,Neuronal (official),1772.0,0.5305,0.4748809490617301,0.7636,0.7584671704260196,0.7873,0.7862420153351585,0.8347,0.8338539692573893,0.8769,0.8768327817790661,0.9213,0.9213022629785904,0.952,0.9519934844316431,,,,,,,,
12,MLP,MNISTbinary,Neuronal (official),1684.0,0.5754,0.5060124629735607,0.8019,0.8008477367311224,0.8205,0.8203535480163868,0.8632,0.8631954035016141,0.9084,0.9083988565537309,0.9385,0.9384997214049748,0.9518,0.9517997068762767,,,,,,,,
13,MLP,MNISTbinary,Neuronal (official),1746.0,0.5068,0.4946253981269838,0.7513,0.751030717834874,0.7666,0.7665835030497841,0.842,0.8420055932503394,0.89,0.8899785616873127,0.9199,0.9198769692133767,0.9511,0.9511026539221346,,,,,,,,
14,MLP,MNISTbinary,Neuronal (official),1720.0,0.5985,0.5982399378917422,0.7794,0.7780108722178991,0.795,0.7940523051829503,0.8403,0.8402348694493128,0.9078,0.9077814442996205,0.9263,0.9262793407737876,0.9507,0.9506811498380939,,,,,,,,
15,MLP,MNISTbinary,Neuronal (official),1824.0,0.4939,0.44373906846825967,0.6643,0.634526451095849,0.7264,0.7239829753389555,0.8134,0.8119653468553697,0.8845,0.8842623129823284,0.9208,0.9207835425778743,0.9477,0.9477022235371784,,,,,,,,
16,MLP,MNISTbinary,Neuronal (official),1730.0,0.628,0.6163198121066933,0.7714,0.770162003675726,0.7839,0.7812547324091887,0.8551,0.855096456253462,0.893,0.8928344834155949,0.9317,0.931682331269523,0.9522,0.9522005354649511,,,,,,,,
17,MLP,MNISTbinary,Neuronal (official),1610.0,0.6258,0.5895268241821947,0.7734,0.7720974372076014,0.7957,0.7954762467342691,0.857,0.8569972543960462,0.9022,0.902204225452857,0.9322,0.9322011064975934,0.9516,0.9516015352583785,,,,,,,,
18,MLP,MNISTbinary,Neuronal (official),1680.0,0.5536,0.5058538952844029,0.7806,0.7780088190035189,0.7968,0.7964238738558992,0.8476,0.8474691655595016,0.8976,0.8975753110368719,0.9304,0.9304029096320655,0.9559,0.9559022206354122,,,,,,,,
19,MLP,MNISTbinary,Neuronal (official),1799.0,0.4833,0.34086050538121987,0.7301,0.7203085110143463,0.7664,0.7664054662577106,0.8177,0.8171183412356124,0.887,0.8868989362215176,0.9178,0.9178040279006975,0.9499,0.9499022622644149,,,,,,,,
20,MLP,MNISTbinary,Neuronal (official),1788.0,0.5883,0.5161517125695414,0.6531,0.6187178084403068,0.7171,0.7077145137250118,0.8219,0.8217119479406442,0.892,0.8918274937455899,0.9286,0.9285882646243375,0.9512,0.9512023914296729,,,,,,,,
21,MLP,MNISTbinary,Neuronal (official),1684.0,0.471,0.38962470607257266,0.7465,0.7385688204246333,0.7862,0.7843519417169155,0.8497,0.8496237346563971,0.891,0.8906478687800782,0.9226,0.9226023037782288,0.9504,0.9503924274412171,,,,,,,,
22,MLP,MNISTbinary,Neuronal (official),1720.0,0.4882,0.3273585519783239,0.7005,0.6904116376185017,0.7422,0.7412266365230609,0.8302,0.8302079671845857,0.8966,0.8965912645988826,0.9223,0.9222764965266655,0.9478,0.9477972116365351,,,,,,,,
23,MLP,MNISTbinary,Neuronal (official),1721.0,0.5987,0.533813669750949,0.6392,0.638952526871069,0.6844,0.6806586351644466,0.7835,0.7832323263162871,0.8904,0.8904017886745758,0.9261,0.9261026807199638,0.9483,0.9482952598925741,,,,,,,,
24,MLP,MNISTbinary,Neuronal (official),1664.0,0.5419,0.4486782595625553,0.7714,0.7708753754279475,0.7896,0.7894861426228659,0.8493,0.8493046347261876,0.8875,0.8874824989813364,0.9296,0.9296038440283574,0.9539,0.9539024466180388,,,,,,,,
